text,label
"I've been feeling really sad and empty for the past few weeks. Nothing brings me joy anymore.",depression
"I can't seem to get out of bed in the mornings. Everything feels pointless and hopeless.",depression
"I've lost interest in hobbies I used to love. I just don't see the point in anything.",depression
"I feel like a burden to everyone around me. They'd be better off without me.",depression
"I cry almost every day without knowing why. The sadness just won't lift.",depression
"I've been sleeping too much but still feel exhausted. My appetite is completely gone.",depression
"I feel disconnected from everything, like I'm watching my life through glass.",depression
"I have no energy to do even basic tasks. Getting dressed feels like climbing a mountain.",depression
"I keep thinking about all my failures. I can't stop beating myself up over everything.",depression
"I've been isolating myself from friends and family. I just don't want to see anyone.",depression
"I can't stop worrying about everything. My mind races all night and I can't sleep.",anxiety
"I had a panic attack at work today. My heart was pounding and I couldn't breathe.",anxiety
"I'm constantly afraid something bad is going to happen to my family.",anxiety
"I feel nervous and on edge all the time for no clear reason.",anxiety
"I've been avoiding social situations because I'm terrified of embarrassing myself.",anxiety
"Even small decisions feel overwhelming. I obsess over every possible outcome.",anxiety
"I get heart palpitations whenever I have to speak in public. It's debilitating.",anxiety
"I keep checking the door locks and the stove multiple times before leaving the house.",anxiety
"I feel like something terrible is about to happen but I don't know what.",anxiety
"My hands shake whenever I'm in a social situation. I'm always hyper-aware of judgment.",anxiety
"Work has been absolutely crushing lately. I'm putting in 70-hour weeks and I'm burnt out.",stress
"I have so many deadlines and responsibilities I don't know where to start. I'm overwhelmed.",stress
"My boss keeps piling on more work and I can't keep up. I feel like I'm drowning.",stress
"I haven't taken a vacation in two years. I'm running on empty and snapping at everyone.",stress
"I'm juggling work, kids, and caring for my parents. I have nothing left for myself.",stress
"The pressure at my job is relentless. I can't switch off even on weekends.",stress
"I feel constantly overwhelmed by my to-do list. There's no end in sight.",stress
"I'm so stressed my body aches. I get headaches every day and my neck is always tight.",stress
"I've been short-tempered with my family because of work pressure. I feel terrible about it.",stress
"I can't find balance. My whole identity has become my job and I don't know who I am anymore.",stress
"How are you doing today? I just wanted to check in.",normal
"I had a great day at work. My project got approved and my team celebrated.",normal
"I'm looking forward to the weekend. Planning to go hiking with friends.",normal
"I've been learning to cook new recipes lately. It's been really fun and relaxing.",normal
"I started a new book and it's been a great way to unwind in the evenings.",normal
"Things have been going well. I've been exercising regularly and it really helps my mood.",normal
"I had a tough week but I talked it through with my therapist and feel much better.",normal
"I'm feeling content. Life isn't perfect but I'm managing well overall.",normal
"I've been spending more time outdoors and it's been really good for my mental health.",normal
"My relationships have been really supportive lately. I feel fortunate to have good people around me.",normal
"I don't see the point in living anymore. I've been thinking about ending it.",crisis
"I've been stockpiling medication. I have a plan to hurt myself.",crisis
"I said goodbye to my friends online. I don't think I'll be here much longer.",crisis
"I can't take the pain anymore. I want it all to stop permanently.",crisis
"I've been standing at the edge of the bridge near my house and thinking about jumping.",crisis
"Nobody would miss me if I was gone. I've made my decision.",crisis
"I've written letters to my family. I think tonight might be the night.",crisis
"I feel completely trapped and the only way out I can see is to end my life.",crisis
"I've been hurting myself to cope and it's getting worse. I don't know how to stop.",crisis
"I told my therapist I was fine but I'm not. I have a plan and I'm scared of myself.",crisis
